Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,PE Ratio,PB Ratio ,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,0,859.9,1.96,25-09-2023,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.61,12.61,11.5,2.3,6.86,0.9,6.89,0,0,0,0,29.3,4.77,57,48,114796,24.12,10.07,9.11,Financials,2.91,0,6.9,0.22,0.31,0.65,0.51,7.16,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,686.1,0.52,24-06-2013,CRISIL Dynamic Bond Index,22.74,22.75,20.39,1.37,4.5,6.15,11.26,9.19,8.51,7.47,7.09,0,0,0,1,0,0,0,0,None,6.47,0,7,-0.14,0.28,0.57,0.89,1.82,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Ashish Ongari,EQ-ELSS,0,82.9,0.52,28-12-2022,NIFTY 50 - TRI,13.73,14.56,12.31,0.99,11,0.57,6.13,15.77,0,0,0,22.53,3.38,7,50,563999,98.54,0.95,0,Financials,0,0,0,-0.05,0.22,0.47,0.99,11.56,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,0,1540.2,2.05,30-06-2023,BSE 500 - TRI,14.88,16.1,13.07,3.94,10.97,-4.2,4.4,0,0,0,0,29.16,4.91,27,46,120438,55.25,22.06,20.13,Financials,0,0,0,0.35,0.3,0.59,1.02,14.78,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,6961.1,1.81,30-10-2014,BSE 500 - TRI,46.47,50.23,41.51,3.4,10.65,-1.96,1.69,19.76,19.8,24.34,15.59,25.19,4.67,31,31,176337,63.19,16.53,13.71,Financials,0,0,0,0.22,0.29,0.62,0.88,12.69,Equity : Multi Cap,1% on or before 12M
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,795.7,0.32,13-11-2013,CRISIL Liquid Debt Index,2001.98,2001.98,1870.55,0.56,1.74,3.47,7.05,7.07,6.77,5.27,5.86,0,0,0,0,0,0,0,0,None,0.15,0,6.41,-0.01,0.11,0.03,1.14,0.23,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Ashish Ongari,EQ-THEM,0,676.5,1.95,29-11-2021,BSE 200 - TRI,19.09,20.71,15.98,2.99,17.46,0.68,3.53,30.95,27.39,0,0,25.61,5.17,57,35,123106,64.21,35.11,0,Financials,0,0,0,0.6,0.35,0.76,1.16,16.49,Equity : Thematic,1% on or before 12M Nil after 12M
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,15895.8,1.03,24-07-2009,Nifty 50 Arbitrage - TRI,26.44,26.44,24.73,0.39,1.84,3.38,7.14,7.35,6.75,5.43,5.74,19.71,2.75,1195,187,188866,46.36,13.96,4.07,Financials,0.93,0.71,6.88,0.01,0.01,0.01,-0.01,0.56,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1058.3,2.18,11-02-2019,NIFTY 500 - TRI,19.44,20.94,16.89,4.43,14.56,-2.17,3.42,17.14,15.11,15.23,0,0,0,46,69,116306,57.87,12.19,28.4,Financials,0,0,0,-0.17,0.2,0.41,0.95,13.54,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7532.7,1.8,25-04-2000,CRISIL Hybrid 50+50 - Moderate Index,104.99,105.49,94.29,1.49,9.94,3.3,9.36,15.22,13.86,15.27,11.03,24.25,3.55,311,93,158140,48.3,15.7,4.86,Financials,4.27,3.35,7.08,0.22,0.3,0.71,0.55,7.19,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D
